"Sim_N","Day","Time","New_Patients","Waiting","Assigned","Discharged","Beds_Avail_EOH"
4837903910160908288,4,"6:00",1,15,10,3,0
4837903910160908288,4,"7:00",1,16,10,0,0
4837903910160908288,4,"8:00",2,15,10,1,0
4837903910160908288,4,"9:00",3,16,10,2,0
4837903910160908288,4,"10:00",0,14,10,2,0
4837903910160908288,4,"11:00",1,13,10,1,0
4837903910160908288,4,"12:00",1,13,10,1,0
4837903910160908288,4,"13:00",1,12,10,2,0
4837903910160908288,4,"14:00",2,11,10,1,0
4837903910160908288,4,"15:00",1,11,10,1,0
4837903910160908288,4,"16:00",0,8,10,3,0
4837903910160908288,4,"17:00",5,12,10,1,0
4837903910160908288,4,"18:00",0,11,10,1,0
4837903910160908288,4,"19:00",1,10,10,2,0
4837903910160908288,4,"20:00",3,9,10,3,0
4837903910160908288,4,"21:00",3,10,10,2,0
4837903910160908288,4,"22:00",0,9,10,1,0
4837903910160908288,4,"23:00",2,8,10,3,0
4837903910160908288,5,"0:00",2,6,10,4,0
4837903910160908288,5,"1:00",0,5,10,1,0
4837903910160908288,5,"2:00",0,5,10,0,0
4837903910160908288,5,"3:00",2,3,10,4,0
4837903910160908288,5,"4:00",3,4,10,2,0
4837903910160908288,5,"5:00",5,8,10,1,0
4837903910160908288,5,"6:00",2,9,10,1,0
4837903910160908288,5,"7:00",5,12,10,2,0
4837903910160908288,5,"8:00",1,12,10,1,0
4837903910160908288,5,"9:00",5,14,10,3,0
4837903910160908288,5,"10:00",3,14,10,3,0
4837903910160908288,5,"11:00",2,11,10,5,0
4837903910160908288,5,"12:00",3,13,10,1,0
4837903910160908288,5,"13:00",4,16,10,0,0
4837903910160908288,5,"14:00",1,15,10,2,0
4837903910160908288,5,"15:00",1,11,10,5,0
4837903910160908288,5,"16:00",2,12,10,1,0
4837903910160908288,5,"17:00",0,9,10,3,0
4837903910160908288,5,"18:00",0,8,10,1,0
4837903910160908288,5,"19:00",2,8,10,2,0
4837903910160908288,5,"20:00",2,8,10,2,0
4837903910160908288,5,"21:00",1,9,10,0,0
4837903910160908288,5,"22:00",1,10,10,0,0
4837903910160908288,5,"23:00",1,7,10,4,0
4837903910160908288,6,"0:00",2,8,10,1,0
4837903910160908288,6,"1:00",0,7,10,1,0
4837903910160908288,6,"2:00",4,8,10,3,0
4837903910160908288,6,"3:00",1,7,10,2,0
4837903910160908288,6,"4:00",5,12,10,0,0
4837903910160908288,6,"5:00",1,13,10,0,0
4837903910160908288,6,"6:00",4,16,10,1,0
4837903910160908288,6,"7:00",2,16,10,2,0
4837903910160908288,6,"8:00",3,18,10,1,0
4837903910160908288,6,"9:00",5,21,10,2,0
4837903910160908288,6,"10:00",2,21,10,2,0
4837903910160908288,6,"11:00",2,20,10,3,0
4837903910160908288,6,"12:00",3,18,10,5,0
4837903910160908288,6,"13:00",5,19,10,4,0
4837903910160908288,6,"14:00",3,20,10,2,0
4837903910160908288,6,"15:00",1,21,10,0,0
4837903910160908288,6,"16:00",1,19,10,3,0
4837903910160908288,6,"17:00",3,22,10,0,0
4837903910160908288,6,"18:00",4,24,10,2,0
4837903910160908288,6,"19:00",3,26,10,0,0
4837903910160908288,6,"20:00",0,24,10,2,0
4837903910160908288,6,"21:00",3,25,10,1,0
4837903910160908288,6,"22:00",2,26,10,1,0
4837903910160908288,6,"23:00",2,25,10,1,0
4837903910160908288,7,"0:00",2,24,10,1,0
4837903910160908288,7,"1:00",2,24,10,2,0
4837903910160908288,7,"2:00",0,17,10,6,0
4837903910160908288,7,"3:00",0,15,10,2,0
4837903910160908288,7,"4:00",0,14,10,1,0
4837903910160908288,7,"5:00",4,14,10,4,0
4837903910160908288,7,"6:00",2,13,10,1,0
4837903910160908288,7,"7:00",4,12,10,2,0
4837903910160908288,7,"8:00",5,12,10,4,0
4837903910160908288,7,"9:00",2,12,10,2,0
4837903910160908288,7,"10:00",0,8,10,4,0
4837903910160908288,7,"11:00",1,6,10,3,0
4837903910160908288,7,"12:00",3,8,10,1,0
4837903910160908288,7,"13:00",4,7,10,5,0
4837903910160908288,7,"14:00",3,3,10,7,0
4837903910160908288,7,"15:00",1,1,10,3,0
4837903910160908288,7,"16:00",1,2,10,0,0
4837903910160908288,7,"17:00",2,3,10,1,0
4837903910160908288,7,"18:00",1,3,10,1,0
4837903910160908288,7,"19:00",2,0,10,5,0
4837903910160908288,7,"20:00",5,4,10,0,0
4837903910160908288,7,"21:00",0,0,9,5,1
4837903910160908288,7,"22:00",5,3,10,1,0
4837903910160908288,7,"23:00",4,6,10,1,0
4837903910160908288,8,"0:00",1,6,10,1,0
4837903910160908288,8,"1:00",3,9,10,0,0
4837903910160908288,8,"2:00",0,7,10,2,0
4837903910160908288,8,"3:00",4,8,10,3,0
4837903910160908288,8,"4:00",1,9,10,0,0
4837903910160908288,8,"5:00",1,5,10,5,0
4837903910160908288,8,"6:00",2,3,10,4,0
4837903910160908288,8,"7:00",2,2,10,3,0
4837903910160908288,8,"8:00",0,0,9,3,1
4837903910160908288,8,"9:00",2,0,9,2,1
4837903910160908288,8,"10:00",5,2,10,1,0
4837903910160908288,8,"11:00",3,1,10,4,0
4837903910160908288,8,"12:00",2,2,10,1,0
4837903910160908288,8,"13:00",4,2,10,3,0
4837903910160908288,8,"14:00",0,2,10,0,0
4837903910160908288,8,"15:00",3,3,10,1,0
4837903910160908288,8,"16:00",0,1,10,2,0
4837903910160908288,8,"17:00",0,0,9,2,1
4837903910160908288,8,"18:00",1,0,9,1,1
4837903910160908288,8,"19:00",0,0,5,4,5
4837903910160908288,8,"20:00",0,0,5,0,5
4837903910160908288,8,"21:00",0,0,5,0,5
4837903910160908288,8,"22:00",5,0,8,2,2
4837903910160908288,8,"23:00",4,2,10,0,0
4837903910160908288,9,"0:00",2,1,10,2,0
4837903910160908288,9,"1:00",4,2,10,3,0
4837903910160908288,9,"2:00",1,3,10,0,0
4837903910160908288,9,"3:00",3,3,10,3,0
4837903910160908288,9,"4:00",1,4,10,0,0
4837903910160908288,9,"5:00",5,5,10,4,0
4837903910160908288,9,"6:00",5,7,10,2,0
4837903910160908288,9,"7:00",1,7,10,1,0
4837903910160908288,9,"8:00",3,7,10,3,0
4837903910160908288,9,"9:00",4,10,10,1,0
4837903910160908288,9,"10:00",1,9,10,2,0
4837903910160908288,9,"11:00",1,8,10,2,0
4837903910160908288,9,"12:00",3,9,10,2,0
4837903910160908288,9,"13:00",4,8,10,4,0
4837903910160908288,9,"14:00",0,5,10,3,0
4837903910160908288,9,"15:00",5,9,10,1,0
4837903910160908288,9,"16:00",3,10,10,2,0
4837903910160908288,9,"17:00",2,11,10,1,0
4837903910160908288,9,"18:00",5,15,10,1,0
4837903910160908288,9,"19:00",4,17,10,2,0
4837903910160908288,9,"20:00",2,17,10,2,0
4837903910160908288,9,"21:00",1,15,10,3,0
4837903910160908288,9,"22:00",2,15,10,2,0
4837903910160908288,9,"23:00",2,16,10,1,0
4837903910160908288,10,"0:00",0,14,10,2,0
4837903910160908288,10,"1:00",5,18,10,1,0
4837903910160908288,10,"2:00",3,20,10,1,0
4837903910160908288,10,"3:00",0,16,10,4,0
4837903910160908288,10,"4:00",2,14,10,4,0
4837903910160908288,10,"5:00",4,17,10,1,0
4837903910160908288,10,"6:00",3,19,10,1,0
4837903910160908288,10,"7:00",1,18,10,2,0
4837903910160908288,10,"8:00",0,14,10,4,0
4837903910160908288,10,"9:00",1,12,10,3,0
4837903910160908288,10,"10:00",5,14,10,2,0
4837903910160908288,10,"11:00",3,15,10,2,0
4837903910160908288,10,"12:00",5,17,10,3,0
4837903910160908288,10,"13:00",2,17,10,2,0
4837903910160908288,10,"14:00",1,17,10,1,0
4837903910160908288,10,"15:00",2,19,10,0,0
4837903910160908288,10,"16:00",4,20,10,3,0
4837903910160908288,10,"17:00",4,22,10,2,0
4837903910160908288,10,"18:00",3,23,10,0,0
4837903910160908288,10,"19:00",0,22,10,1,0
4837903910160908288,10,"20:00",1,22,10,1,0
4837903910160908288,10,"21:00",3,25,10,0,0
4837903910160908288,10,"22:00",5,27,10,2,0
4837903910160908288,10,"23:00",0,26,10,1,0
4837903910160908288,11,"0:00",0,24,10,0,0
4837903910160908288,11,"1:00",1,22,10,0,0
4837903910160908288,11,"2:00",4,25,10,0,0
4837903910160908288,11,"3:00",1,23,10,2,0
4837903910160908288,11,"4:00",5,25,10,2,0
4837903910160908288,11,"5:00",5,26,10,1,0
4837903910160908288,11,"6:00",2,24,10,2,0
4837903910160908288,11,"7:00",5,26,10,1,0
4837903910160908288,11,"8:00",5,31,10,0,0
4837903910160908288,11,"9:00",2,32,10,0,0
4837903910160908288,11,"10:00",3,30,10,4,0
4837903910160908288,11,"11:00",0,26,10,3,0
4837903910160908288,11,"12:00",5,28,10,3,0
4837903910160908288,11,"13:00",4,30,10,2,0
4837903910160908288,11,"14:00",5,28,10,7,0
4837903910160908288,11,"15:00",4,30,10,1,0
4837903910160908288,11,"16:00",4,32,10,1,0
4837903910160908288,11,"17:00",5,32,10,4,0
4837903910160908288,11,"18:00",2,31,10,1,0
4837903910160908288,11,"19:00",0,29,10,2,0
4837903910160908288,11,"20:00",2,28,10,0,0
4837903910160908288,11,"21:00",1,25,10,3,0
4837903910160908288,11,"22:00",0,24,10,1,0
4837903910160908288,11,"23:00",5,26,10,3,0
4837903910160908288,12,"0:00",3,28,10,0,0
4837903910160908288,12,"1:00",3,26,10,2,0
4837903910160908288,12,"2:00",4,28,10,2,0
4837903910160908288,12,"3:00",4,27,10,1,0
4837903910160908288,12,"4:00",4,30,10,1,0
4837903910160908288,12,"5:00",1,29,10,1,0
4837903910160908288,12,"6:00",0,24,10,1,0
4837903910160908288,12,"7:00",0,21,10,3,0
4837903910160908288,12,"8:00",2,22,10,1,0
4837903910160908288,12,"9:00",5,26,10,1,0
4837903910160908288,12,"10:00",5,30,10,1,0
4837903910160908288,12,"11:00",4,31,10,2,0
4837903910160908288,12,"12:00",4,29,10,2,0
4837903910160908288,12,"13:00",4,29,10,3,0
4837903910160908288,12,"14:00",3,31,10,0,0
4837903910160908288,12,"15:00",5,29,10,5,0
4837903910160908288,12,"16:00",1,27,10,1,0
4837903910160908288,12,"17:00",2,26,10,2,0
4837903910160908288,12,"18:00",5,28,10,3,0
4837903910160908288,12,"19:00",4,32,10,0,0
4837903910160908288,12,"20:00",0,31,10,1,0
4837903910160908288,12,"21:00",2,32,10,1,0
4837903910160908288,12,"22:00",4,31,10,0,0
4837903910160908288,12,"23:00",3,32,10,1,0
4837903910160908288,13,"0:00",4,32,10,3,0
4837903910160908288,13,"1:00",1,31,10,1,0
4837903910160908288,13,"2:00",1,28,10,3,0
4837903910160908288,13,"3:00",4,28,10,2,0
4837903910160908288,13,"4:00",3,27,10,2,0
4837903910160908288,13,"5:00",0,23,10,4,0
4837903910160908288,13,"6:00",1,20,10,3,0
4837903910160908288,13,"7:00",4,20,10,1,0
4837903910160908288,13,"8:00",1,19,10,1,0
4837903910160908288,13,"9:00",2,20,10,1,0
4837903910160908288,13,"10:00",2,18,10,3,0
4837903910160908288,13,"11:00",3,18,10,2,0
4837903910160908288,13,"12:00",3,18,10,2,0
4837903910160908288,13,"13:00",5,21,10,2,0
4837903910160908288,13,"14:00",3,20,10,4,0
4837903910160908288,13,"15:00",0,19,10,1,0
4837903910160908288,13,"16:00",0,15,10,3,0
4837903910160908288,13,"17:00",0,11,10,4,0
4837903910160908288,13,"18:00",5,10,10,5,0
4837903910160908288,13,"19:00",1,11,10,0,0
4837903910160908288,13,"20:00",5,15,10,1,0
4837903910160908288,13,"21:00",0,14,10,1,0
4837903910160908288,13,"22:00",4,17,10,1,0
4837903910160908288,13,"23:00",2,17,10,2,0
4837903910160908288,14,"0:00",2,18,10,1,0
4837903910160908288,14,"1:00",4,17,10,5,0
4837903910160908288,14,"2:00",0,15,10,2,0
4837903910160908288,14,"3:00",2,12,10,5,0
4837903910160908288,14,"4:00",0,9,10,3,0
4837903910160908288,14,"5:00",0,8,10,1,0
4837903910160908288,14,"6:00",5,10,10,3,0
4837903910160908288,14,"7:00",4,13,10,1,0
4837903910160908288,14,"8:00",2,14,10,1,0
4837903910160908288,14,"9:00",0,13,10,1,0
4837903910160908288,14,"10:00",2,15,10,0,0
4837903910160908288,14,"11:00",1,16,10,0,0
4837903910160908288,14,"12:00",2,15,10,1,0
4837903910160908288,14,"13:00",4,15,10,4,0
4837903910160908288,14,"14:00",1,15,10,1,0
4837903910160908288,14,"15:00",2,16,10,1,0
4837903910160908288,14,"16:00",1,16,10,1,0
4837903910160908288,14,"17:00",0,15,10,1,0
4837903910160908288,14,"18:00",3,17,10,1,0
4837903910160908288,14,"19:00",3,16,10,2,0
4837903910160908288,14,"20:00",3,17,10,2,0
4837903910160908288,14,"21:00",2,18,10,0,0
4837903910160908288,14,"22:00",3,19,10,1,0
4837903910160908288,14,"23:00",5,22,10,2,0
4837903910160908288,15,"0:00",2,20,10,4,0
4837903910160908288,15,"1:00",4,22,10,2,0
4837903910160908288,15,"2:00",5,26,10,1,0
4837903910160908288,15,"3:00",3,27,10,2,0
4837903910160908288,15,"4:00",4,29,10,2,0
4837903910160908288,15,"5:00",0,29,10,0,0
4837903910160908288,15,"6:00",5,30,10,4,0
4837903910160908288,15,"7:00",0,27,10,2,0
4837903910160908288,15,"8:00",4,28,10,1,0
4837903910160908288,15,"9:00",4,30,10,2,0
4837903910160908288,15,"10:00",4,31,10,1,0
4837903910160908288,15,"11:00",0,29,10,2,0
4837903910160908288,15,"12:00",3,28,10,0,0
4837903910160908288,15,"13:00",2,27,10,3,0
4837903910160908288,15,"14:00",2,26,10,2,0
4837903910160908288,15,"15:00",0,22,10,0,0
4837903910160908288,15,"16:00",0,18,10,3,0
4837903910160908288,15,"17:00",0,15,10,2,0
4837903910160908288,15,"18:00",5,17,10,1,0
4837903910160908288,15,"19:00",1,17,10,1,0
4837903910160908288,15,"20:00",1,16,10,2,0
4837903910160908288,15,"21:00",4,16,10,2,0
4837903910160908288,15,"22:00",4,16,10,3,0
4837903910160908288,15,"23:00",2,16,10,2,0
4880482499575571456,1,"0:00",4,0,3,0,7
4880482499575571456,1,"1:00",5,0,7,1,3
4880482499575571456,1,"2:00",3,0,7,3,3
4880482499575571456,1,"3:00",4,0,9,2,1
4880482499575571456,1,"4:00",1,0,7,3,3
4880482499575571456,1,"5:00",4,0,10,1,0
4880482499575571456,1,"6:00",3,1,10,2,0
4880482499575571456,1,"7:00",5,3,10,1,0
4880482499575571456,1,"8:00",0,3,10,0,0
4880482499575571456,1,"9:00",4,4,10,2,0
4880482499575571456,1,"10:00",0,4,10,0,0
4880482499575571456,1,"11:00",0,2,10,2,0
4880482499575571456,1,"12:00",5,7,10,0,0
4880482499575571456,1,"13:00",1,6,10,2,0
4880482499575571456,1,"14:00",0,5,10,1,0
4880482499575571456,1,"15:00",5,6,10,3,0
4880482499575571456,1,"16:00",5,10,10,1,0
4880482499575571456,1,"17:00",3,11,10,2,0
4880482499575571456,1,"18:00",1,11,10,1,0
4880482499575571456,1,"19:00",0,9,10,2,0
4880482499575571456,1,"20:00",1,8,10,2,0
4880482499575571456,1,"21:00",1,7,10,2,0
4880482499575571456,1,"22:00",0,4,10,3,0
4880482499575571456,1,"23:00",3,3,10,3,0
4880482499575571456,2,"0:00",2,3,10,2,0
4880482499575571456,2,"1:00",1,2,10,2,0
4880482499575571456,2,"2:00",3,1,10,4,0
4880482499575571456,2,"3:00",4,4,10,1,0
4880482499575571456,2,"4:00",2,4,10,2,0
4880482499575571456,2,"5:00",3,6,10,1,0
4880482499575571456,2,"6:00",4,6,10,4,0
4880482499575571456,2,"7:00",5,11,10,0,0
4880482499575571456,2,"8:00",1,9,10,3,0
4880482499575571456,2,"9:00",3,9,10,3,0
4880482499575571456,2,"10:00",5,11,10,3,0
4880482499575571456,2,"11:00",4,13,10,1,0
4880482499575571456,2,"12:00",0,8,10,5,0
4880482499575571456,2,"13:00",2,7,10,3,0
4880482499575571456,2,"14:00",4,10,10,1,0
4880482499575571456,2,"15:00",2,10,10,2,0
4880482499575571456,2,"16:00",2,11,10,1,0
4880482499575571456,2,"17:00",5,10,10,5,0
4880482499575571456,2,"18:00",4,10,10,4,0
4880482499575571456,2,"19:00",3,10,10,3,0
4880482499575571456,2,"20:00",3,12,10,1,0
4880482499575571456,2,"21:00",0,11,10,1,0
4880482499575571456,2,"22:00",0,8,10,3,0
4880482499575571456,2,"23:00",4,10,10,1,0
4880482499575571456,3,"0:00",4,11,10,3,0
4880482499575571456,3,"1:00",0,10,10,1,0
4880482499575571456,3,"2:00",0,8,10,2,0
4880482499575571456,3,"3:00",0,6,10,2,0
4880482499575571456,3,"4:00",3,6,10,3,0
4880482499575571456,3,"5:00",0,2,10,4,0
4880482499575571456,3,"6:00",4,4,10,2,0
4880482499575571456,3,"7:00",2,6,10,0,0
4880482499575571456,3,"8:00",3,8,10,1,0
4880482499575571456,3,"9:00",0,7,10,1,0
4880482499575571456,3,"10:00",2,9,10,0,0
4880482499575571456,3,"11:00",4,6,10,7,0
4880482499575571456,3,"12:00",4,7,10,3,0
4880482499575571456,3,"13:00",3,8,10,1,0
4880482499575571456,3,"14:00",1,8,10,1,0
4880482499575571456,3,"15:00",2,7,10,3,0
4880482499575571456,3,"16:00",0,6,10,1,0
4880482499575571456,3,"17:00",3,6,10,3,0
4880482499575571456,3,"18:00",4,9,10,1,0
4880482499575571456,3,"19:00",4,11,10,1,0
4880482499575571456,3,"20:00",4,12,10,3,0
4880482499575571456,3,"21:00",4,15,10,1,0
4880482499575571456,3,"22:00",0,13,10,2,0
4880482499575571456,3,"23:00",3,13,10,3,0
4880482499575571456,4,"0:00",2,13,10,2,0
4880482499575571456,4,"1:00",0,12,10,1,0
4880482499575571456,4,"2:00",4,15,10,1,0
4880482499575571456,4,"3:00",1,16,10,0,0
4880482499575571456,4,"4:00",2,15,10,3,0
4880482499575571456,4,"5:00",4,17,10,2,0
4880482499575571456,4,"6:00",5,20,10,2,0
4880482499575571456,4,"7:00",3,21,10,2,0
4880482499575571456,4,"8:00",3,22,10,2,0
4880482499575571456,4,"9:00",2,21,10,2,0
4880482499575571456,4,"10:00",5,25,10,1,0
4880482499575571456,4,"11:00",4,27,10,2,0
4880482499575571456,4,"12:00",1,26,10,1,0
4880482499575571456,4,"13:00",2,28,10,0,0
4880482499575571456,4,"14:00",2,28,10,0,0
4880482499575571456,4,"15:00",2,28,10,1,0
4880482499575571456,4,"16:00",5,29,10,3,0
4880482499575571456,4,"17:00",3,30,10,1,0
4880482499575571456,4,"18:00",2,30,10,1,0
4880482499575571456,4,"19:00",5,32,10,0,0
4880482499575571456,4,"20:00",5,34,10,3,0
4880482499575571456,4,"21:00",1,30,10,1,0
4880482499575571456,4,"22:00",3,31,10,2,0
4880482499575571456,4,"23:00",1,27,10,3,0
4880482499575571456,5,"0:00",5,30,10,1,0
4880482499575571456,5,"1:00",0,28,10,2,0
4880482499575571456,5,"2:00",0,25,10,1,0
4880482499575571456,5,"3:00",0,23,10,1,0
4880482499575571456,5,"4:00",0,20,10,1,0
4880482499575571456,5,"5:00",2,18,10,3,0
4880482499575571456,5,"6:00",0,16,10,1,0
4880482499575571456,5,"7:00",1,15,10,0,0
4880482499575571456,5,"8:00",0,11,10,2,0
4880482499575571456,5,"9:00",2,12,10,1,0
4880482499575571456,5,"10:00",0,7,10,5,0
4880482499575571456,5,"11:00",5,10,10,2,0
4880482499575571456,5,"12:00",3,9,10,4,0
4880482499575571456,5,"13:00",5,12,10,1,0
4880482499575571456,5,"14:00",2,12,10,2,0
4880482499575571456,5,"15:00",1,11,10,2,0
4880482499575571456,5,"16:00",1,9,10,3,0
4880482499575571456,5,"17:00",3,10,10,2,0
4880482499575571456,5,"18:00",0,7,10,3,0
4880482499575571456,5,"19:00",1,6,10,2,0
4880482499575571456,5,"20:00",3,5,10,4,0
4880482499575571456,5,"21:00",0,3,10,2,0
4880482499575571456,5,"22:00",2,4,10,1,0
4880482499575571456,5,"23:00",5,7,10,2,0
4880482499575571456,6,"0:00",2,7,10,2,0
4880482499575571456,6,"1:00",0,6,10,1,0
4880482499575571456,6,"2:00",3,8,10,1,0
4880482499575571456,6,"3:00",5,10,10,2,0
4880482499575571456,6,"4:00",1,11,10,0,0
4880482499575571456,6,"5:00",4,15,10,0,0
4880482499575571456,6,"6:00",2,16,10,1,0
4880482499575571456,6,"7:00",0,12,10,4,0
4880482499575571456,6,"8:00",0,10,10,2,0
4880482499575571456,6,"9:00",5,11,10,3,0
4880482499575571456,6,"10:00",5,12,10,4,0
4880482499575571456,6,"11:00",1,10,10,3,0
4880482499575571456,6,"12:00",5,13,10,2,0
4880482499575571456,6,"13:00",3,14,10,2,0
4880482499575571456,6,"14:00",1,11,10,4,0
4880482499575571456,6,"15:00",5,14,10,1,0
4880482499575571456,6,"16:00",5,18,10,1,0
4880482499575571456,6,"17:00",1,18,10,1,0
4880482499575571456,6,"18:00",3,15,10,5,0
4880482499575571456,6,"19:00",2,15,10,2,0
4880482499575571456,6,"20:00",0,12,10,3,0
4880482499575571456,6,"21:00",1,9,10,4,0
4880482499575571456,6,"22:00",5,13,10,1,0
4880482499575571456,6,"23:00",1,14,10,0,0
4880482499575571456,7,"0:00",4,17,10,1,0
4880482499575571456,7,"1:00",1,17,10,1,0
4880482499575571456,7,"2:00",5,21,10,1,0
4880482499575571456,7,"3:00",1,21,10,1,0
4880482499575571456,7,"4:00",0,19,10,1,0
4880482499575571456,7,"5:00",0,18,10,0,0
4880482499575571456,7,"6:00",5,23,10,0,0
4880482499575571456,7,"7:00",2,21,10,3,0
4880482499575571456,7,"8:00",5,25,10,1,0
4880482499575571456,7,"9:00",4,28,10,1,0
4880482499575571456,7,"10:00",3,25,10,5,0
4880482499575571456,7,"11:00",3,27,10,1,0
4880482499575571456,7,"12:00",3,24,10,3,0
4880482499575571456,7,"13:00",3,24,10,3,0
4880482499575571456,7,"14:00",1,21,10,4,0
4880482499575571456,7,"15:00",3,20,10,4,0
4880482499575571456,7,"16:00",2,16,10,5,0
4880482499575571456,7,"17:00",5,16,10,5,0
4880482499575571456,7,"18:00",5,20,10,1,0
4880482499575571456,7,"19:00",4,22,10,2,0
4880482499575571456,7,"20:00",2,20,10,4,0
4880482499575571456,7,"21:00",1,18,10,3,0
4880482499575571456,7,"22:00",3,18,10,2,0
4880482499575571456,7,"23:00",3,19,10,2,0
4880482499575571456,8,"0:00",4,21,10,2,0
4880482499575571456,8,"1:00",1,20,10,2,0
4880482499575571456,8,"2:00",4,21,10,3,0
4880482499575571456,8,"3:00",0,20,10,1,0
4880482499575571456,8,"4:00",0,18,10,2,0
4880482499575571456,8,"5:00",5,22,10,1,0
4880482499575571456,8,"6:00",4,22,10,3,0
4880482499575571456,8,"7:00",0,18,10,4,0
4880482499575571456,8,"8:00",0,16,10,1,0
4880482499575571456,8,"9:00",1,15,10,2,0
4880482499575571456,8,"10:00",1,13,10,3,0
4880482499575571456,8,"11:00",1,13,10,1,0
4880482499575571456,8,"12:00",4,14,10,2,0
4880482499575571456,8,"13:00",3,16,10,0,0
4880482499575571456,8,"14:00",2,17,10,0,0
4880482499575571456,8,"15:00",5,21,10,1,0
4880482499575571456,8,"16:00",3,23,10,1,0
4880482499575571456,8,"17:00",3,21,10,5,0
4880482499575571456,8,"18:00",4,23,10,2,0
4880482499575571456,8,"19:00",0,22,10,1,0
4880482499575571456,8,"20:00",1,21,10,2,0
4880482499575571456,8,"21:00",4,24,10,1,0
4880482499575571456,8,"22:00",3,26,10,0,0
4880482499575571456,8,"23:00",0,25,10,1,0
4880482499575571456,9,"0:00",3,24,10,0,0
4880482499575571456,9,"1:00",2,23,10,2,0
4880482499575571456,9,"2:00",4,25,10,2,0
4880482499575571456,9,"3:00",1,22,10,4,0
4880482499575571456,9,"4:00",4,23,10,2,0
4880482499575571456,9,"5:00",2,22,10,1,0
4880482499575571456,9,"6:00",5,21,10,3,0
4880482499575571456,9,"7:00",2,22,10,1,0
4880482499575571456,9,"8:00",3,22,10,3,0
4880482499575571456,9,"9:00",5,24,10,2,0
4880482499575571456,9,"10:00",5,27,10,1,0
4880482499575571456,9,"11:00",4,30,10,1,0
4880482499575571456,9,"12:00",5,32,10,2,0
4880482499575571456,9,"13:00",5,36,10,1,0
4880482499575571456,9,"14:00",2,35,10,2,0
4880482499575571456,9,"15:00",4,36,10,1,0
4880482499575571456,9,"16:00",2,37,10,1,0
4880482499575571456,9,"17:00",2,35,10,2,0
4880482499575571456,9,"18:00",2,36,10,0,0
4880482499575571456,9,"19:00",0,29,10,4,0
4880482499575571456,9,"20:00",1,30,10,0,0
4880482499575571456,9,"21:00",3,29,10,1,0
4880482499575571456,9,"22:00",2,26,10,4,0
4880482499575571456,9,"23:00",3,24,10,2,0
4880482499575571456,10,"0:00",1,25,10,0,0
4880482499575571456,10,"1:00",4,22,10,3,0
4880482499575571456,10,"2:00",3,20,10,2,0
4880482499575571456,10,"3:00",3,22,10,1,0
4880482499575571456,10,"4:00",4,20,10,6,0
4880482499575571456,10,"5:00",2,21,10,0,0
4880482499575571456,10,"6:00",0,19,10,0,0
4880482499575571456,10,"7:00",4,20,10,3,0
4880482499575571456,10,"8:00",3,22,10,1,0
4880482499575571456,10,"9:00",2,24,10,0,0
4880482499575571456,10,"10:00",4,26,10,1,0
4880482499575571456,10,"11:00",2,25,10,1,0
4880482499575571456,10,"12:00",2,23,10,4,0
4880482499575571456,10,"13:00",1,19,10,5,0
4880482499575571456,10,"14:00",1,17,10,3,0
4880482499575571456,10,"15:00",5,20,10,2,0
4880482499575571456,10,"16:00",5,20,10,5,0
4880482499575571456,10,"17:00",4,22,10,1,0
4880482499575571456,10,"18:00",4,23,10,2,0
4880482499575571456,10,"19:00",2,22,10,3,0
4880482499575571456,10,"20:00",2,22,10,2,0
4880482499575571456,10,"21:00",5,24,10,2,0
4880482499575571456,10,"22:00",2,26,10,0,0
